SOLUTION,RM,FIXED,ID,NPV,ORF,WP,NP,ID_RM,PLOT,X,Y,EUCLIDEAN
0,0,0,0,164680138.5,22.3906,2.90E+07,9817660,49,NPV_Wp,0.2398276538967753,0.652014652014652,0.1938239568092024
0,1,0,1,531610036.9,23.6228,3.08E+07,1.25E+07,1,NPV_Wp,0.6881141403820463,0.717948717948718,0
0,1,0,2,735163080.4,25.8977,3.62E+07,1.38E+07,2,NPV_Wp,0.9367994589725864,0.9157509157509157,0
0,1,0,3,80625175.36,17.4669,1.58E+07,8061910,3,NPV_Wp,0.13713582021958923,0.1684981684981685,0
0,0,0,4,222416018.8,19.786,1.84E+07,9269100,47,NPV_Wp,0.31036487377632377,0.26373626373626374,0.11449394502164648
0,0,0,5,266578731.5,20.7491,2.37E+07,1.02E+07,49,NPV_Wp,0.3643194503760197,0.45787545787545786,0.03848564217790646
0,0,0,6,246160626.7,21.8796,2.22E+07,9838800,49,NPV_Wp,0.33937419379869405,0.40293040293040294,0.08067349933963279
0,0,0,7,346071599.7,22.3118,2.56E+07,1.08E+07,24,NPV_Wp,0.46143767034502164,0.5274725274725275,0.07438637108562102
0,0,0,8,500849177.9,24.6511,3.33E+07,1.27E+07,16,NPV_Wp,0.6505329090282951,0.8095238095238095,0.033172327417469456
0,0,0,9,786893767.8,27.2373,2.81E+07,1.36E+07,11,NPV_Wp,1,0.6190476190476191,0.2895545793676315
0,0,0,10,482638878.6,24.685,2.80E+07,1.18E+07,11,NPV_Wp,0.6282849779476204,0.6153846153846154,0.08614862923087825
0,1,0,11,550819649,24.6961,2.74E+07,1.21E+07,11,NPV_Wp,0.7115829543233578,0.5934065934065934,0
0,0,0,12,543006199.4,22.0048,2.70E+07,1.21E+07,11,NPV_Wp,0.7020370877047282,0.5787545787545788,0.017487284033363176
0,0,0,13,456156230.7,22.3356,2.50E+07,1.15E+07,31,NPV_Wp,0.5959305330476963,0.5054945054945055,0.055992996972047474
0,0,0,14,134050519.5,21.1669,2.45E+07,9924990,49,NPV_Wp,0.20240676139451277,0.48717948717948717,0.1332631723643163
0,0,0,15,310327178.5,19.4241,1.68E+07,9637370,47,NPV_Wp,0.4177679092787546,0.20512820512820512,0.1062777797964407
0,1,0,16,503865280.1,24.0272,3.24E+07,1.21E+07,16,NPV_Wp,0.6542177487320485,0.7765567765567766,0
0,0,0,17,208826570.6,20.4936,1.98E+07,9443030,38,NPV_Wp,0.29376234012230523,0.315018315018315,0.10083158269133564
0,0,0,18,529747782.9,24.407,3.09E+07,1.25E+07,1,NPV_Wp,0.6858389829030744,0.7216117216117216,0.004312068806188033
0,0,0,19,769492558.2,26.4743,3.47E+07,1.40E+07,2,NPV_Wp,0.9787405519523134,0.8608058608058609,0.06912318238658574
0,0,0,20,577847408.2,24.2341,1.87E+07,1.16E+07,24,NPV_Wp,0.744603373924406,0.27472527472527475,0.30834367081884595
0,0,0,21,97312320.38,20.0779,2.46E+07,9192610,38,NPV_Wp,0.15752287955464284,0.4908424908424908,0.1454785771711759
0,0,0,22,521498115.9,24.1194,2.52E+07,1.20E+07,11,NPV_Wp,0.6757601797032546,0.5128205128205128,0.08818949804658711
0,0,0,23,307841370.8,20.0365,2.52E+07,1.04E+07,49,NPV_Wp,0.4147309422592499,0.5128205128205128,0.08436429038218163
0,1,0,24,379376744.6,21.3849,2.39E+07,1.07E+07,24,NPV_Wp,0.5021273128467837,0.4652014652014652,0
0,0,0,25,46563854.37,15.7666,1.12E+07,7472690,3,NPV_Wp,0.095522340428938,0,0.17356069395898407
0,0,0,26,403655587,20.7999,2.03E+07,1.06E+07,47,NPV_Wp,0.53178931913977,0.3333333333333333,0.11934408688528408
0,0,0,27,148631892,17.6963,1.62E+07,8590470,3,NPV_Wp,0.22022115121300667,0.18315018315018314,0.08436737378660417
0,0,0,28,495646212.2,22.454,3.07E+07,1.23E+07,1,NPV_Wp,0.6441763291389841,0.7142857142857143,0.044090235343737266
0,0,0,29,626231051.3,25.5606,3.63E+07,1.33E+07,2,NPV_Wp,0.8037147558620309,0.9194139194139194,0.1331351035522183
0,0,0,30,209422028,19.514,2.28E+07,9730720,49,NPV_Wp,0.2944898237829762,0.4249084249084249,0.07160001065637071
0,1,0,31,410423212.9,22.7986,2.51E+07,1.13E+07,31,NPV_Wp,0.5400574794880729,0.5091575091575091,0
